Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Epoch Time
1,4.225038194492134,3.7015730371338176,0.04111653272101033,0.09749225133840518,3414.7802691459656
2,3.2889749730084987,3.0150807959894355,0.16059127439724455,0.21978021978021978,3456.214285850525
3,2.6517878167254234,2.701334838902121,0.2964982778415614,0.2907861369399831,3395.7260777950287
4,2.0765782652164027,2.0109329253191612,0.4306831228473019,0.45759368836291914,3456.831612110138
5,1.5884393463862887,1.6095262264728412,0.5650114810562572,0.5508593970132432,3379.65225315094
6,1.2308193998139707,1.332869510897182,0.6522675086107922,0.6370808678500987,3403.5561566352844
7,0.9687670341315417,1.3772302371879872,0.7190011481056258,0.6258100873485489,3385.5614070892334
8,0.7522608698714615,1.1820041122286042,0.7825774971297359,0.6748379825302903,3429.4035108089447
9,0.597683633184734,1.1077676812303876,0.8257749712973593,0.7013243167089321,3428.6920325756073
10,0.46772032261031643,1.135229923567929,0.8602181400688863,0.6970977740208509,3421.674649953842
11,0.3774592906715676,1.1336862927223468,0.8885619977037887,0.7103409411101719,3419.326597213745
12,0.2912552775868592,1.0811067023523158,0.9124569460390356,0.7309101155255001,3439.1786663532257
13,0.2524933090645191,1.1459667137489415,0.9238662456946038,0.7204846435615666,3440.964572429657
14,0.21355877185387945,0.9908791550383429,0.9369259471871412,0.759650605804452,3418.724135160446
15,0.1890725126889899,1.2234307862765756,0.9430252583237658,0.7066779374471682,3404.65176486969
16,0.18254544880844217,1.2350036623646554,0.9458955223880597,0.7202028740490279,3414.8500261306763
17,0.15775028789837242,1.0644114133706393,0.9502009184845006,0.758523527754297,3522.9402980804443
18,0.12898729552956453,1.1018322789020758,0.9607491389207807,0.7444350521273598,3434.9168133735657
